lang,cap,length,n_max,build_s,dec_mean_us,dec_std_us,dec_min_us,dec_max_us,enc_mean_us,enc_std_us,enc_min_us,enc_max_us,entries,table_bits,disk_bytes,peak_rss_kb
rust,inf,48.0,64.0,0.001522,4.742,1.41,2.737,8.429,3.116,0.773,2.07,4.942,2079.0,71046.0,20706.0,2224.0
rust,inf,64.0,81.0,0.003049,6.741,2.056,3.97,13.713,4.31,1.014,2.856,7.29,3320.0,148538.0,41781.0,2440.0
rust,inf,96.0,115.0,0.009815,14.176,6.199,8.511,42.175,8.025,2.009,5.185,13.29,6669.0,440806.0,119394.0,2912.0
rust,inf,128.0,148.0,0.020376,21.632,4.662,14.016,34.711,12.965,2.445,9.06,19.419,11025.0,959231.0,255041.0,3256.0
rust,inf,192.0,215.0,0.07099,42.064,11.877,24.077,77.42,24.765,6.882,15.182,41.572,23219.0,3011653.0,784830.0,4072.0
rust,inf,256.0,282.0,0.17377,67.796,16.078,36.896,105.091,39.232,8.763,22.109,53.443,39902.0,6888080.0,1776679.0,5236.0
rust,inf,384.0,414.0,0.667443,145.494,37.922,84.284,238.87,92.969,32.749,47.819,204.398,85904.0,22119661.0,5647713.0,9604.0
rust,inf,512.0,547.0,1.840607,227.666,61.004,120.852,371.582,145.851,45.294,72.012,268.21,149877.0,51437927.0,13065109.0,15992.0
rust,inf,768.0,811.0,8.65652,497.056,177.094,202.253,1108.026,331.018,129.121,119.48,752.475,329265.0,169138922.0,42737368.0,38624.0
rust,inf,1024.0,1074.0,26.138839,964.061,288.676,395.023,1638.61,720.839,256.604,250.68,1337.518,577274.0,394709732.0,99471294.0,77480.0
rust,8,16.0,28.0,5.1e-05,1.025,0.323,0.519,1.925,0.867,0.179,0.554,1.628,215.0,2137.0,899.0,1220.0
rust,8,24.0,37.0,9.3e-05,1.916,0.681,0.91,3.862,1.394,0.359,0.782,2.354,296.0,4091.0,1500.0,1196.0
rust,8,32.0,46.0,0.000146,2.547,0.726,1.341,4.844,3.415,12.054,1.116,98.301,377.0,6701.0,2265.0,1192.0
rust,8,48.0,64.0,0.0003,4.718,1.186,2.551,7.617,3.219,0.651,1.774,4.78,539.0,13943.0,4299.0,1132.0
rust,8,64.0,81.0,0.000484,7.136,1.827,4.151,13.868,4.732,1.024,3.129,8.605,692.0,23280.0,6844.0,1144.0
rust,8,96.0,115.0,0.001032,13.996,4.736,7.289,33.937,8.479,2.874,4.888,26.087,998.0,49321.0,13777.0,2280.0
rust,8,128.0,148.0,0.001743,20.219,5.357,12.266,40.539,12.056,2.665,7.825,19.235,1295.0,84072.0,22873.0,2440.0
rust,8,192.0,215.0,0.003973,44.6,13.613,27.382,74.842,26.491,9.251,16.184,74.453,1898.0,183449.0,48547.0,2708.0
rust,8,256.0,282.0,0.007135,61.056,13.798,31.364,91.504,34.952,7.474,19.832,48.518,2501.0,321674.0,83933.0,2636.0
rust,8,384.0,414.0,0.017868,128.713,29.896,74.803,226.28,73.168,18.638,41.861,122.968,3689.0,708007.0,182146.0,2964.0
rust,8,512.0,547.0,0.035391,194.616,53.66,83.691,369.704,122.221,41.408,44.255,252.534,4886.0,1250599.0,319440.0,3228.0
rust,8,768.0,811.0,0.10528,459.843,113.804,209.782,660.825,297.986,86.323,121.164,550.582,7262.0,2784387.0,706153.0,3672.0
rust,8,1024.0,1075.0,0.245196,829.125,262.085,371.432,1469.768,592.512,220.548,219.469,1265.565,9638.0,4926338.0,1244908.0,4600.0
rust,32,16.0,28.0,0.000112,1.013,0.317,0.499,1.873,0.833,0.173,0.496,1.506,405.0,5048.0,1894.0,1180.0
rust,32,24.0,37.0,0.000326,1.877,0.656,0.907,3.447,1.392,0.375,0.729,2.173,692.0,12182.0,4081.0,1172.0
rust,32,32.0,46.0,0.000468,2.589,0.673,1.255,4.206,1.973,0.619,1.213,5.876,989.0,21968.0,6934.0,1188.0
rust,32,48.0,64.0,0.001025,4.777,1.465,2.678,8.191,3.41,1.325,2.131,11.808,1583.0,49011.0,14512.0,2396.0
rust,32,64.0,81.0,0.001741,6.651,1.909,4.05,12.258,4.577,1.036,3.142,7.446,2144.0,83765.0,23969.0,2220.0
rust,32,96.0,115.0,0.003752,13.353,3.891,7.038,25.638,8.153,1.931,4.912,13.071,3266.0,180369.0,49646.0,2284.0
rust,32,128.0,148.0,0.006428,22.396,6.448,14.18,57.71,13.946,7.113,9.309,66.584,4355.0,308946.0,83296.0,2784.0
rust,32,192.0,215.0,0.014793,39.689,10.85,21.544,80.336,22.903,5.313,13.541,35.886,6566.0,675962.0,178073.0,2896.0
rust,32,256.0,282.0,0.026602,69.005,19.669,43.34,162.682,39.578,8.581,24.357,59.411,8777.0,1185642.0,308516.0,3244.0
rust,32,384.0,414.0,0.065714,132.316,29.274,80.264,190.766,77.222,17.329,45.093,111.412,13133.0,2608492.0,670209.0,3824.0
rust,32,512.0,547.0,0.131937,219.271,54.702,139.436,404.621,131.08,32.293,83.599,230.921,17522.0,4604900.0,1175339.0,4324.0
rust,32,768.0,811.0,0.390266,472.928,130.381,226.544,1014.63,302.933,86.775,133.64,495.005,26234.0,10244565.0,2597249.0,5672.0
rust,32,1024.0,1074.0,0.914895,830.708,280.605,339.862,1413.0,596.147,234.096,191.891,1212.701,34913.0,18082481.0,4568664.0,7348.0
rust,128,16.0,28.0,0.000113,1.013,0.322,0.483,1.915,0.835,0.193,0.498,1.773,405.0,5048.0,1895.0,1176.0
rust,128,24.0,37.0,0.000268,1.871,0.652,0.931,3.219,1.385,0.363,0.776,2.176,702.0,12462.0,4166.0,1172.0
rust,128,32.0,46.0,0.000541,2.617,0.745,1.252,4.699,1.871,0.377,1.136,2.944,1080.0,24992.0,7816.0,2516.0
rust,128,48.0,64.0,0.001471,4.766,1.399,2.831,8.345,3.236,0.789,2.071,5.086,2079.0,71046.0,20706.0,2288.0
rust,128,64.0,81.0,0.003114,6.666,1.865,3.969,11.171,4.449,1.012,2.938,7.211,3320.0,148538.0,41781.0,2344.0
rust,128,96.0,115.0,0.009206,13.135,3.643,8.16,22.79,8.354,2.326,5.391,18.343,6669.0,440806.0,119394.0,3020.0
rust,128,128.0,148.0,0.020139,21.821,4.921,14.263,35.972,13.076,2.438,9.428,19.696,10835.0,934910.0,248695.0,3300.0
